timestamp(ms),myData.gz,myData.gy,varx,vary,
"1782220407.391","-0.79","-1.59",,,
"1782220407.395","-0.79","-1.65",,,
"1782220407.407",,"-1.65",,,
"1782220407.408","-0.79",,,,
"1782220407.422","-0.67","-1.4",,,
"1782220407.423","-0.67",,,,
"1782220407.433","-0.67","-1.4",,,
"1782220407.436","-0.55","-1.47",,,
"1782220407.447",,"-1.47",,,
"1782220407.448","-0.55",,,,
"1782220407.451","-0.61","-1.47",,,
"1782220407.465","-0.67","-1.71",,,
"1782220407.476","-0.67","-1.71",,,
"1782220407.491","-0.43","-1.34",,,
"1782220407.493","-0.73","-1.4",,,
"1782220407.512","-0.61","-1.4",,,
"1782220407.518","-0.61","-1.4",,,
"1782220407.522",,"-1.53",,,
"1782220407.523","-0.67",,,,
"1782220407.532",,"-1.53",,,
"1782220407.533","-0.67",,,,
"1782220407.535",,"-1.59",,,
"1782220407.536","-0.55",,,,
"1782220407.546",,"-1.59",,,
"1782220407.547","-0.55",,,,
"1782220407.56","-0.79","-1.4",,,
"1782220407.563",,"-1.47",,,
"1782220407.564","-0.73",,,,
"1782220407.575","-0.73","-1.47",,,
"1782220407.582","-0.67","-1.47",,,
"1782220407.589","-0.67","-1.47",,,
"1782220407.594","-0.61","-1.53",,,
"1782220407.611","-0.67","-1.59",,,
"1782220407.617","-0.67","-1.59",,,
"1782220407.631","-0.55","-1.34",,,
"1782220407.634","-0.67","-1.47",,,
"1782220407.645","-0.67","-1.47",,,
"1782220407.648","-0.55","-1.28",,,
"1782220407.666",,"-1.28",,,
"1782220407.667","-0.49","-1.71",,,
"1782220407.673",,"-1.71",,,
"1782220407.674","-0.49",,,,
"1782220407.677","-0.73","-1.4",,,
"1782220407.688","-0.73","-1.4",,,
"1782220407.705","-0.67","-1.4",,,
"1782220407.715","-0.67","-1.4",,,
"1782220407.723","-0.73","-1.4",,,
"1782220407.729","-0.73","-1.4",,,
"1782220407.733","-0.79","-1.47",,,
"1782220407.749","-0.73","-1.59",,,
"1782220407.759","-0.73","-1.59",,,
"1782220407.775","-0.79","-1.59",,,
"1782220407.786","-0.79","-1.59",,,
"1782220407.793","-0.79","-1.53",,,
"1782220407.8","-0.79","-1.53",,,
"1782220407.806","-0.73","-1.65",,,
"1782220407.814","-0.73","-1.65",,,
"1782220407.82","-0.61","-1.47",,,
"1782220407.828",,"-1.47",,,
"1782220407.829","-0.61",,,,
"1782220407.842","-0.61","-1.4",,,
"1782220407.846","-0.55","-1.53",,,
"1782220407.856",,"-1.53",,,
"1782220407.857","-0.55",,,,
"1782220407.861","-0.67","-1.34",,,
"1782220407.875",,"-1.34",,,
"1782220407.876","-0.67","-1.53",,,
"1782220407.885","-0.67","-1.53",,,
"1782220407.888","-0.73","-1.28",,,
"1782220407.899","-0.73","-1.28",,,
"1782220407.916","-0.61","-1.34",,,
"1782220407.917","-0.79","-1.47",,,
"1782220407.927","-0.79","-1.47",,,
"1782220407.93","-0.79","-1.47",,,
"1782220407.941","-0.79","-1.47",,,
"1782220407.945",,"-1.47",,,
"1782220407.946","-0.43",,,,
"1782220407.955",,"-1.47",,,
"1782220407.956","-0.43",,,,
"1782220407.959","-0.79","-1.53",,,
"1782220407.97","-0.79","-1.53",,,
"1782220407.983","-0.61","-1.59",,,
"1782220407.989","-0.79","-1.59",,,
"1782220407.997",,"-1.59",,,
"1782220407.998","-0.79",,,,
"1782220408.002","-0.61","-1.47",,,
"1782220408.012","-0.61","-1.47",,,
"1782220408.015","-0.61","-1.47",,,
"1782220408.026","-0.61","-1.47",,,
"1782220408.029","-0.67","-1.47",,,
"1782220408.042","-0.67","-1.47",,,
"1782220408.054","-0.55","-1.65",,,
"1782220408.059","-0.61","-1.47",,,
"1782220408.068","-0.61","-1.47",,,
"1782220408.071","-0.55","-1.53",,,
"1782220408.082",,"-1.53",,,
"1782220408.083","-0.55",,,,
"1782220408.086","-0.61","-1.4",,,
"1782220408.096",,"-1.4",,,
"1782220408.097","-0.61",,,,
"1782220408.1","-0.73","-1.28",,,
"1782220408.113","-0.73","-1.28",,,
"1782220408.124","-0.55","-1.59",,,
"1782220408.128",,"-1.59",,,
"1782220408.129","-0.61",,,,
"1782220408.138","-0.61","-1.59",,,
"1782220408.141",,"-1.77",,,
"1782220408.142","-0.61",,,,
"1782220408.153","-0.61","-1.77",,,
"1782220408.156","-0.67","-1.47",,,
"1782220408.171",,"-1.47",,,
"1782220408.172","-0.67","-1.34",,,
"1782220408.182","-0.67","-1.34",,,
"1782220408.194",,"-1.34",,,
"1782220408.195","-0.61",,,,
"1782220408.198","-0.73","-1.4",,,
"1782220408.209","-0.73","-1.4",,,
"1782220408.214","-0.55","-1.34",,,
"1782220408.228","-0.61","-1.65",,,
"1782220408.238","-0.61","-1.65",,,
"1782220408.241","-0.55","-1.53",,,
"1782220408.252","-0.55","-1.53",,,
"1782220408.265","-0.61","-1.53",,,
"1782220408.271","-0.61","-1.47",,,
"1782220408.279","-0.61","-1.47",,,
"1782220408.284","-0.67","-1.65",,,
"1782220408.294","-0.67","-1.65",,,
"1782220408.301","-0.67","-1.53",,,
"1782220408.308","-0.67","-1.53",,,
"1782220408.311","-0.67","-1.28",,,
"1782220408.322","-0.67","-1.28",,,
