timestamp(ms),myData.gz,myData.gy,varx,vary,
"1782223913.071",,,"-30.29","7.92",
"1782223913.079",,,"-30.1","7.98",
"1782223913.091",,,"-30.1","7.73",
"1782223913.104",,,"-30.1","7.73",
"1782223913.105",,,"-30.47","7.55",
"1782223913.117",,,"-30.47",,
"1782223913.118",,,"-30.65","7.12",
"1782223913.128",,,"-30.65","7.12",
"1782223913.131",,,"-30.16","6.76",
"1782223913.142",,,"-30.16","6.76",
"1782223913.147",,,"-29.31","6.09",
"1782223913.16",,,"-29.31","6.09",
"1782223913.171",,,"-27.72","5.47",
"1782223913.173",,,"-26.13",,
"1782223913.174",,,,"4.8",
"1782223913.184",,,"-26.13",,
"1782223913.185",,,,"4.8",
"1782223913.19",,,"-24.06","4.19",
"1782223913.199",,,"-24.06","4.19",
"1782223913.205",,,"-21.92","3.83",
"1782223913.219",,,"-19.11","3.46",
"1782223913.227",,,"-19.11","3.46",
"1782223913.231",,,"-16.55","2.79",
"1782223913.243",,,"-16.55","2.79",
"1782223913.248",,,"-13.37","2.3",
"1782223913.261",,,"-9.89","1.75",
"1782223913.27",,,"-9.89","1.75",
"1782223913.274",,,"-6.04","1.08",
"1782223913.29",,,"-6.04","1.08",
"1782223913.302",,,"3","-1.55",
"1782223913.312",,,"3","-1.55",
"1782223913.315",,,"7.7","-2.4",
"1782223913.326",,,"7.7","-2.4",
"1782223913.332",,,"12.52","-2.95",
"1782223913.34",,,"12.52",,
"1782223913.341",,,,"-2.95",
"1782223913.346",,,"17.1","-3.14",
"1782223913.356",,,"17.1","-3.14",
"1782223913.361",,,"21.81","-3.2",
"1782223913.369",,,"21.81",,
"1782223913.37",,,,"-3.2",
"1782223913.373",,,"26.02","-3.38",
"1782223913.386",,,"26.02","-3.38",
"1782223913.391",,,"29.68",,
"1782223913.392",,,,"-3.62",
"1782223913.398",,,"29.68","-3.62",
"1782223913.411",,,"32.62","-3.99",
"1782223913.415",,,"34.94","-4.11",
"1782223913.426",,,"34.94","-4.11",
"1782223913.429",,,"37.62","-4.85",
"1782223913.442",,,"37.62","-4.85",
"1782223913.448",,,"39.39","-5.64",
"1782223913.455",,,"39.39","-5.64",
"1782223913.459",,,"41.16","-6.19",
"1782223913.469",,,"41.16","-6.19",
"1782223913.473",,,"42.26","-6.37",
"1782223913.483",,,"42.26","-6.37",
"1782223913.486",,,"42.75",,
"1782223913.487",,,,"-6.68",
"1782223913.498",,,"42.75","-6.68",
"1782223913.501",,,"43.12","-6.86",
"1782223913.512",,,"43.12","-6.86",
"1782223913.525",,,"42.2","-6.62",
"1782223913.531",,,"41.23","-6.07",
"1782223913.54",,,"41.23","-6.07",
"1782223913.543",,,"39.33",,
"1782223913.544",,,,"-5.58",
"1782223913.554",,,"39.33","-5.58",
"1782223913.558",,,"37.38","-5.03",
"1782223913.568",,,"37.38",,
"1782223913.569",,,,"-5.03",
"1782223913.572",,,"35.42","-4.91",
"1782223913.583",,,"35.42","-4.91",
"1782223913.586",,,"33.71","-5.15",
"1782223913.597",,,"33.71","-5.15",
"1782223913.61",,,"31.94","-5.09",
"1782223913.615",,,"29.99","-4.72",
"1782223913.629",,,"28.28","-4.17",
"1782223913.639",,,"28.28","-4.17",
"1782223913.643",,,"26.69","-3.87",
"1782223913.653",,,"26.69",,
"1782223913.654",,,,"-3.87",
"1782223913.657",,,"25.23","-3.38",
"1782223913.668",,,"25.23","-3.38",
"1782223913.671",,,"24.07","-2.95",
"1782223913.683",,,"24.07","-2.95",
"1782223913.695",,,"22.97",,
"1782223913.696",,,,"-2.77",
"1782223913.699",,,"21.44","-2.65",
"1782223913.714",,,"19.67","-2.22",
"1782223913.724",,,"19.67","-2.22",
"1782223913.729",,,"17.53","-1.79",
"1782223913.738",,,"17.53","-1.79",
"1782223913.742",,,"15.15","-1.55",
"1782223913.753",,,"15.15","-1.55",
"1782223913.76",,,"12.65","-0.82",
"1782223913.768",,,"12.65","-0.82",
"1782223913.784",,,"6.23","0.16",
"1782223913.794",,,"6.23",,
"1782223913.795",,,,"0.16",
"1782223913.799",,,"2.87","0.83",
"1782223913.808",,,"2.87",,
"1782223913.809",,,,"0.83",
"1782223913.813",,,"-0.73","1.08",
"1782223913.823",,,"-0.73","1.08",
"1782223913.826",,,"-3.78","1.5",
"1782223913.837",,,"-3.78","1.5",
"1782223913.842",,,"-6.47","2.05",
"1782223913.852",,,"-6.47","2.05",
"1782223913.855",,,"-9.09","2.36",
"1782223913.866",,,"-9.09","2.36",
"1782223913.869",,,"-11.54",,
"1782223913.87",,,,"2.97",
"1782223913.881",,,"-11.54","2.97",
"1782223913.884",,,"-14.1","2.91",
"1782223913.895",,,"-14.1","2.91",
"1782223913.902",,,"-16.12","3.03",
"1782223913.909",,,"-16.12","3.03",
"1782223913.923",,,"-17.09","2.42",
"1782223913.926",,,"-18.01","1.87",
"1782223913.937",,,"-18.01","1.87",
"1782223913.94",,,"-18.25",,
"1782223913.941",,,,"1.57",
"1782223913.951",,,"-18.25",,
"1782223913.952",,,,"1.57",
"1782223913.955",,,"-17.95","1.2",
"1782223913.966",,,"-17.95","1.2",
"1782223913.969",,,"-17.46","1.2",
"1782223913.98",,,"-17.46","1.2",
"1782223913.985",,,"-16.3","1.2",
"1782223913.999",,,"-15.2","1.14",
"1782223914.014",,,"-13.98","1.44",
"1782223914.025",,,"-13.98","1.44",
"1782223914.028",,,"-12.82","1.69",
"1782223914.039",,,"-12.82","1.69",
"1782223914.051",,,"-11.72","2.36",
"1782223914.054",,,"-10.99","2.73",
"1782223914.065",,,"-10.99","2.73",
"1782223914.072",,,"-10.07",,
"1782223914.073",,,,"3.4",
"1782223914.079",,,"-10.07","3.4",
"1782223914.083",,,"-9.09","3.52",
"1782223914.093",,,"-9.09","3.52",
"1782223914.096",,,"-8.3","3.4",
"1782223914.107",,,"-8.3","3.4",
"1782223914.117",,,"-8.12","3.15",
"1782223914.129",,,"-8.12",,
"1782223914.13",,,"-8.3","2.18",
"1782223914.136",,,"-8.3","2.18",
"1782223914.14",,,"-8.67","-0.08",
"1782223914.15",,,"-8.67","-0.08",
"1782223914.157",,,"-8.91","-3.2",
"1782223914.164",,,"-8.91","-3.2",
"1782223914.169",,,"-9.22","-6.92",
"1782223914.18",,,"-9.22","-6.92",
"1782223914.192",,,"-9.4","-10.16",
"1782223914.195",,,"-9.64",,
"1782223914.196",,,,"-13.09",
"1782223914.207",,,"-9.64","-13.09",
"1782223914.213",,,"-9.58",,
"1782223914.214",,,,"-16.63",
"1782223914.225",,,"-9.58","-16.63",
"1782223914.226",,,,"-19.5",
"1782223914.235",,,"-9.58","-19.5",
"1782223914.238",,,"-9.58",,
"1782223914.239",,,,"-21.7",
"1782223914.249",,,"-9.58",,
"1782223914.25",,,,"-21.7",
"1782223914.253",,,"-9.34","-22.62",
"1782223914.264",,,"-9.34","-22.62",
"1782223914.267",,,"-8.85","-22.62",
"1782223914.278",,,"-8.85","-22.62",
"1782223914.283",,,"-8.61","-22.43",
"1782223914.298",,,"-8.61","-22.43",
"1782223914.309",,,"-8.06","-22.19",
"1782223914.31",,,"-7.26","-22.13",
"1782223914.32",,,"-7.26","-22.13",
"1782223914.323",,,"-6.47","-21.88",
"1782223914.339",,,"-5.61","-21.58",
"1782223914.359",,,"-4.94","-20.6",
"1782223914.363",,,"-4.94","-20.6",
"1782223914.366",,,"-4.33","-19.5",
"1782223914.377",,,"-4.33","-19.5",
"1782223914.382",,,"-3.42","-18.28",
"1782223914.391",,,"-3.42",,
"1782223914.392",,,,"-18.28",
"1782223914.405",,,"-3.35","-17.98",
"1782223914.41",,,"-2.74","-17.43",
"1782223914.419",,,"-2.74","-17.43",
"1782223914.422",,,"-1.95","-16.82",
"1782223914.433",,,"-1.95","-16.82",
"1782223914.438",,,"-1.4","-16.08",
"1782223914.454",,,"-1.4",,
"1782223914.455",,,"-0.55","-15.59",
"1782223914.462",,,"-0.55","-15.59",
"1782223914.466",,,"0.13","-14.8",
"1782223914.476",,,"0.13","-14.8",
"1782223914.489",,,"1.04","-13.21",
"1782223914.497",,,"1.47","-11.62",
"1782223914.504",,,"1.47","-11.62",
"1782223914.508",,,"2.2","-9.24",
"1782223914.518",,,"2.2","-9.24",
"1782223914.525",,,"2.45","-7.23",
"1782223914.532",,,"2.45","-7.23",
"1782223914.535",,,"2.87","-4.54",
"1782223914.551",,,"3.3","-1.73",
"1782223914.562",,,"3.3","-1.73",
"1782223914.569",,,"3.55","1.14",
"1782223914.575",,,"3.55",,
"1782223914.576",,,,"1.14",
"1782223914.592",,,"4.04","7",
"1782223914.602",,,"4.04",,
"1782223914.603",,,,"7",
"1782223914.606",,,"4.58","9.75",
"1782223914.617",,,"4.58","9.75",
"1782223914.621",,,"5.13","12.25",
"1782223914.636",,,"5.26","14.7",
"1782223914.645",,,"5.26","14.7",
"1782223914.651",,,"5.32","16.77",
"1782223914.659",,,"5.32","16.77",
"1782223914.663",,,"5.26","19.03",
"1782223914.674",,,"5.26","19.03",
"1782223914.687",,,"4.95",,
"1782223914.688",,,,"21.11",
"1782223914.692",,,"4.52","23.31",
"1782223914.702",,,"4.52","23.31",
"1782223914.705",,,"3.97","25.87",
"1782223914.716",,,"3.97","25.87",
"1782223914.722",,,"3.18",,
"1782223914.723",,,,"27.76",
"1782223914.73",,,"3.18","27.76",
"1782223914.738",,,"2.14","29.84",
"1782223914.748",,,"2.14",,
"1782223914.749",,,"0.92","30.7",
"1782223914.759",,,"0.92","30.7",
"1782223914.762",,,"0.19","31.18",
"1782223914.773",,,"0.19","31.18",
"1782223914.786",,,"-0.3","31.55",
"1782223914.79",,,"-0.85","31.18",
"1782223914.801",,,"-0.85","31.18",
"1782223914.804",,,"-1.16","30.45",
"1782223914.815",,,"-1.16","30.45",
"1782223914.818",,,"-1.16","29.78",
"1782223914.829",,,"-1.16","29.78",
"1782223914.832",,,"-1.16",,
"1782223914.833",,,,"29.05",
"1782223914.843",,,"-1.16",,
"1782223914.844",,,,"29.05",
"1782223914.848",,,"-0.61","28.38",
"1782223914.858",,,"-0.61","28.38",
"1782223914.862",,,"-0.12","27.15",
"1782223914.875",,,"-0.12","27.15",
"1782223914.885",,,"0.49",,
"1782223914.886",,,,"25.93",
"1782223914.894",,,"0.74","24.59",
"1782223914.9",,,"0.74","24.59",
"1782223914.903",,,"0.98","23.06",
"1782223914.914",,,"0.98","23.06",
"1782223914.917",,,"1.59",,
"1782223914.918",,,,"21.47",
"1782223914.928",,,"1.59",,
"1782223914.929",,,,"21.47",
"1782223914.932",,,"2.14","20.19",
"1782223914.943",,,"2.14","20.19",
"1782223914.946",,,"2.45","19.46",
"1782223914.958",,,"2.45","19.46",
"1782223914.96",,,"2.69","18.67",
"1782223914.971",,,"2.69","18.67",
"1782223914.985",,,"2.75","18.05",
"1782223914.988",,,"2.94","17.2",
"1782223914.999",,,"2.94","17.2",
"1782223915.002",,,"3.06",,
"1782223915.003",,,,"16.28",
"1782223915.013",,,"3.06",,
"1782223915.014",,,,"16.28",
"1782223915.022",,,"3.42","15.49",
"1782223915.028",,,"3.42","15.49",
"1782223915.032",,,"3.18","14.88",
"1782223915.046",,,"3.18","14.88",
"1782223915.047",,,"3.06","14.45",
"1782223915.056",,,"3.06","14.45",
"1782223915.06",,,"3",,
"1782223915.061",,,,"13.96",
"1782223915.071",,,"3",,
"1782223915.072",,,,"13.96",
"1782223915.084",,,"2.81","13.35",
"1782223915.089",,,"2.57","12.38",
"1782223915.099",,,"2.57","12.38",
"1782223915.102",,,"2.45","10.97",
"1782223915.113",,,"2.45","10.97",
"1782223915.116",,,"1.59","9.2",
"1782223915.127",,,"1.59","9.2",
"1782223915.13",,,"0.49",,
"1782223915.131",,,,"6.7",
"1782223915.145",,,"-0.12","3.83",
"1782223915.157",,,"-0.12","3.83",
"1782223915.159",,,"-0.91","0.71",
"1782223915.17",,,"-0.91","0.71",
"1782223915.173",,,"-1.28","-2.04",
"1782223915.184",,,"-1.28","-2.04",
"1782223915.198",,,"-1.89","-5.27",
"1782223915.204",,,"-2.25",,
"1782223915.205",,,,"-8.27",
"1782223915.212",,,"-2.25","-8.27",
"1782223915.216",,,"-2.32","-11.14",
"1782223915.226",,,"-2.32","-11.14",
"1782223915.229",,,"-2.62",,
"1782223915.23",,,,"-13.33",
"1782223915.241",,,"-2.62","-13.33",
"1782223915.244",,,"-2.44","-14.8",
"1782223915.258",,,"-2.44",,
"1782223915.259",,,"-2.44","-16.14",
"1782223915.269",,,"-2.44","-16.14",
"1782223915.273",,,"-2.62","-17.91",
"1782223915.284",,,"-2.62","-17.91",
"1782223915.289",,,"-2.74","-19.5",
"1782223915.298",,,"-2.74","-19.5",
"1782223915.311",,,"-2.13","-20.11",
"1782223915.316",,,"-1.83","-20.42",
"1782223915.326",,,"-1.83","-20.42",
"1782223915.331",,,"-1.77","-20.42",
"1782223915.34",,,"-1.77",,
"1782223915.341",,,,"-20.42",
"1782223915.343",,,"-1.46",,
"1782223915.344",,,,"-20.79",
"1782223915.358",,,"-1.46","-21.33",
"1782223915.369",,,"-1.46","-21.33",
"1782223915.373",,,"-0.91","-21.09",
"1782223915.383",,,"-0.91","-21.09",
"1782223915.386",,,"-0.79","-20.54",
"1782223915.399",,,"-0.79","-20.54",
"1782223915.411",,,"-0.61","-19.5",
"1782223915.415",,,"-0.85","-18.59",
"1782223915.425",,,"-0.85","-18.59",
"1782223915.429",,,"-1.09","-17.61",
"1782223915.439",,,"-1.09","-17.61",
"1782223915.442",,,"-1.71",,
"1782223915.443",,,,"-17.12",
"1782223915.454",,,"-1.71","-17.12",
"1782223915.457",,,"-2.5","-16.82",
"1782223915.473",,,"-3.72","-17.18",
"1782223915.501",,,"-4.76","-17.18",
"1782223915.522",,,"-5.49","-16.69",
"1782223915.523",,,"-6.47","-16.39",
"1782223915.528",,,"-7.63","-16.39",
"1782223915.538",,,"-7.63",,
"1782223915.539",,,,"-16.39",
"1782223915.542",,,"-8.18","-15.9",
"1782223915.557",,,"-8.48","-15.9",
"1782223915.558",,,,"-15.47",
"1782223915.567",,,"-8.48","-15.47",
"1782223915.572",,,"-8.61","-14.86",
"1782223915.581",,,"-8.61","-14.86",
"1782223915.589",,,"-8.61","-14.01",
"1782223915.596",,,"-8.61","-14.01",
"1782223915.609",,,"-8.48","-12.91",
"1782223915.614",,,"-8.36","-12.36",
"1782223915.623",,,"-8.36","-12.36",
"1782223915.628",,,"-8.36","-11.81",
"1782223915.638",,,"-8.36","-11.81",
"1782223915.644",,,"-8.36",,
"1782223915.645",,,,"-11.2",
"1782223915.652",,,"-8.36","-11.2",
"1782223915.655",,,"-8.48","-10.95",
"1782223915.666",,,"-8.48","-10.95",
"1782223915.67",,,"-8","-10.46",
"1782223915.681",,,"-8","-10.46",
"1782223915.684",,,"-7.93","-9.98",
"1782223915.695",,,"-7.93","-9.98",
"1782223915.698",,,"-7.63",,
"1782223915.699",,,,"-9.79",
"1782223915.709",,,"-7.63",,
"1782223915.71",,,,"-9.79",
"1782223915.723",,,"-7.14","-9.06",
"1782223915.729",,,"-6.47","-8.33",
"1782223915.737",,,"-6.47","-8.33",
"1782223915.743",,,"-5.92","-7.66",
"1782223915.751",,,"-5.92","-7.66",
"1782223915.756",,,"-5","-7.04",
"1782223915.766",,,"-5","-7.04",
"1782223915.771",,,"-4.21","-6.25",
"1782223915.78",,,"-4.21","-6.25",
"1782223915.785",,,"-2.8","-5.4",
"1782223915.794",,,"-2.8","-5.4",
"1782223915.797",,,"-1.58","-4.6",
"1782223915.808",,,"-1.58","-4.6",
"1782223915.813",,,"-0.36","-3.44",
"1782223915.823",,,"-0.36","-3.44",
"1782223915.836",,,"0.8","-2.46",
"1782223915.841",,,"1.9","-1.55",
"1782223915.85",,,"1.9","-1.55",
"1782223915.855",,,"2.75","-1.12",
"1782223915.865",,,"2.75","-1.12",
"1782223915.868",,,"3.42","-0.94",
"1782223915.88",,,"3.42","-0.94",
"1782223915.887",,,"3.61","-0.57",
"1782223915.894",,,"3.61","-0.57",
"1782223915.897",,,"4.04","-0.27",
"1782223915.908",,,"4.04","-0.27",
"1782223915.911",,,"4.28","0.34",
"1782223915.922",,,"4.28","0.34",
"1782223915.925",,,"4.71","1.08",
"1782223915.939",,,"4.71","1.08",
"1782223915.946",,,"4.83","2.05",
"1782223915.951",,,"4.83","2.05",
"1782223915.966",,,"5.32","2.91",
"1782223915.969",,,"5.38",,
"1782223915.97",,,,"3.64",
"1782223915.979",,,"5.38","3.64",
"1782223915.982",,,"5.87","4.44",
"1782223915.993",,,"5.87","4.44",
"1782223915.998",,,"5.99","5.23",
"1782223916.007",,,"5.99","5.23",
"1782223916.011",,,"5.68","5.54",
"1782223916.023",,,"5.68","5.54",
"1782223916.025",,,"5.38",,
"1782223916.026",,,,"5.66",
"1782223916.036",,,"5.38","5.66",
"1782223916.042",,,"5.13","5.17",
"1782223916.05",,,"5.13","5.17",
"1782223916.055",,,"4.46","4.8",
"1782223916.069",,,"3.61","4.62",
"1782223916.079",,,"3.61","4.62",
"1782223916.092",,,"3.18","4.92",
"1782223916.098",,,"2.87","5.11",
"1782223916.106",,,"2.87",,
"1782223916.107",,,,"5.11",
"1782223916.11",,,"2.81","5.29",
"1782223916.121",,,"2.81","5.29",
"1782223916.125",,,"2.81","5.41",
"1782223916.135",,,"2.81","5.41",
"1782223916.143",,,"3.42","5.6",
"1782223916.149",,,"3.42","5.6",
"1782223916.155",,,"3.97","5.66",
"1782223916.163",,,"3.97","5.66",
"1782223916.166",,,"4.95",,
"1782223916.167",,,,"5.47",
"1782223916.178",,,"4.95","5.47",
"1782223916.181",,,"5.81","5.84",
"1782223916.198",,,"6.72","5.9",
"1782223916.206",,,"6.72","5.9",
"1782223916.219",,,"8","6.51",
"1782223916.224",,,"8.68","7.31",
"1782223916.237",,,"8.68",,
"1782223916.238",,,"9.35","8.47",
"1782223916.248",,,"9.35","8.47",
"1782223916.254",,,"9.53","9.02",
"1782223916.262",,,"9.53","9.02",
"1782223916.265",,,"9.23",,
"1782223916.266",,,,"9.69",
"1782223916.277",,,"9.23","9.69",
"1782223916.28",,,"8.86","9.93",
"1782223916.291",,,"8.86","9.93",
"1782223916.295",,,"9.16","10.24",
"1782223916.305",,,"9.16","10.24",
"1782223916.319",,,"9.04","10.24",
"1782223916.322",,,"8.92","10.42",
"1782223916.333",,,"8.92","10.42",
"1782223916.337",,,"7.94",,
"1782223916.338",,,,"10.42",
"1782223916.348",,,"7.94","10.42",
"1782223916.351",,,"6.17","10.05",
"1782223916.362",,,"6.17","10.05",
"1782223916.365",,,"3.73","9.87",
"1782223916.376",,,"3.73","9.87",
"1782223916.379",,,"1.16","9.2",
"1782223916.394",,,"-1.52","8.83",
"1782223916.409",,,"-1.52","8.83",
"1782223916.41",,,"-4.94","8.34",
"1782223916.418",,,"-4.94","8.34",
"1782223916.422",,,"-8.67","7.92",
"1782223916.433",,,"-8.67","7.92",
"1782223916.448",,,"-12.27","7.43",
"1782223916.452",,,"-14.9","6.94",
"1782223916.46",,,"-14.9",,
"1782223916.461",,,,"6.94",
"1782223916.464",,,"-17.95","6.27",
"1782223916.482",,,"-20.45","5.84",
"1782223916.489",,,"-20.45","5.84",
"1782223916.494",,,"-23.02","5.41",
"1782223916.503",,,"-23.02","5.41",
"1782223916.508",,,"-25.52","5.29",
"1782223916.518",,,"-25.52",,
"1782223916.519",,,,"5.29",
"1782223916.524",,,"-27.35","5.41",
"1782223916.532",,,"-27.35","5.41",
"1782223916.535",,,"-28.58","5.29",
"1782223916.546",,,"-28.58","5.29",
"1782223916.551",,,"-29.67","5.11",
"1782223916.561",,,"-29.67","5.11",
"1782223916.574",,,"-30.16","5.41",
"1782223916.58",,,"-30.16","5.05",
"1782223916.588",,,"-30.16","5.05",
"1782223916.591",,,"-29.8","4.99",
"1782223916.603",,,"-29.8","4.99",
"1782223916.607",,,"-29.55","4.86",
"1782223916.617",,,"-29.55","4.86",
"1782223916.62",,,"-29.06","5.05",
"1782223916.631",,,"-29.06","5.05",
"1782223916.638",,,"-28.09","5.29",
"1782223916.645",,,"-28.09",,
"1782223916.646",,,,"5.29",
"1782223916.649",,,"-26.93","5.41",
"1782223916.66",,,"-26.93","5.41",
"1782223916.664",,,"-25.64","5.41",
"1782223916.674",,,"-25.64","5.41",
"1782223916.677",,,"-24.61","5.05",
"1782223916.688",,,"-24.61",,
"1782223916.689",,,,"5.05",
"1782223916.692",,,"-23.32","4.68",
"1782223916.703",,,"-23.32","4.68",
"1782223916.723",,,"-19.96","3.64",
"1782223916.731",,,"-19.96","3.64",
"1782223916.734",,,"-18.68","3.09",
"1782223916.749",,,"-18.68",,
"1782223916.75",,,"-17.89","2.54",
"1782223916.76",,,"-17.89","2.54",
"1782223916.766",,,"-16.73","2.54",
"1782223916.774",,,"-16.73","2.54",
"1782223916.777",,,"-15.69","1.87",
"1782223916.788",,,"-15.69","1.87",
"1782223916.792",,,"-14.1","1.63",
"1782223916.803",,,"-14.1","1.63",
"1782223916.806",,,"-11.78","1.32",
"1782223916.824",,,"-9.95","0.71",
"1782223916.838",,,"-9.95",,
"1782223916.839",,,,"0.71",
"1782223916.844",,,"-6.77","-0.2",
"1782223916.849",,,"-3.48","-0.94",
"1782223916.859",,,"-3.48","-0.94",
"1782223916.867",,,"1.35","-1.79",
"1782223916.873",,,"1.35","-1.79",
"1782223916.877",,,"6.84","-2.4",
"1782223916.887",,,"6.84","-2.4",
"1782223916.89",,,"12.34","-3.32",
"1782223916.906",,,"12.34",,
"1782223916.907",,,"17.9","-3.75",
"1782223916.92",,,"23.82","-4.36",
"1782223916.93",,,"23.82","-4.36",
"1782223916.945",,,"29.07","-5.03",
"1782223916.947",,,"33.16","-4.91",
"1782223916.957",,,"33.16",,
"1782223916.958",,,,"-4.91",
"1782223916.961",,,"37.38","-5.15",
"1782223916.976",,,"41.1","-5.33",
"1782223916.986",,,"41.1","-5.33",
"1782223916.991",,,"44.46","-5.21",
"1782223917.001",,,"44.46",,
"1782223917.002",,,,"-5.21",
"1782223917.006",,,"47.21","-5.58",
"1782223917.022",,,"48.68","-5.15",
"1782223917.03",,,"48.68","-5.15",
"1782223917.043",,,"49.23","-4.91",
"1782223917.047",,,"49.53","-4.42",
"1782223917.057",,,"49.53","-4.42",
"1782223917.06",,,"49.41","-3.99",
"1782223917.071",,,"49.41","-3.99",
"1782223917.078",,,"48.49","-3.99",
"1782223917.085",,,"48.49","-3.99",
"1782223917.088",,,"46.91","-4.17",
"1782223917.099",,,"46.91","-4.17",
"1782223917.103",,,"44.95","-4.24",
"1782223917.114",,,"44.95","-4.24",
"1782223917.127",,,"42.75","-4.6",
"1782223917.132",,,"40.92","-4.72",
"1782223917.142",,,"40.92","-4.72",
"1782223917.146",,,"38.54","-4.79",
"1782223917.156",,,"38.54","-4.79",
"1782223917.16",,,"36.34","-4.66",
"1782223917.17",,,"36.34","-4.66",
"1782223917.176",,,"34.14","-4.54",
"1782223917.184",,,"34.14",,
"1782223917.185",,,,"-4.54",
"1782223917.188",,,"31.94","-4.48",
"1782223917.199",,,"31.94","-4.48",
"1782223917.212",,,"29.26","-4.42",
"1782223917.217",,,"26.75","-4.3",
"1782223917.228",,,"26.75","-4.3",
"1782223917.23",,,"24.74","-4.66",
"1782223917.241",,,"24.74","-4.66",
"1782223917.244",,,"22.36","-4.6",
"1782223917.262",,,"20.52","-4.6",
"1782223917.27",,,"20.52","-4.6",
"1782223917.273",,,"19.12","-4.3",
"1782223917.284",,,"19.12","-4.3",
"1782223917.297",,,"18.33","-4.11",
"1782223917.305",,,"17.65","-4.11",
"1782223917.313",,,"17.65",,
"1782223917.314",,,,"-4.11",
"1782223917.316",,,"17.1","-4.11",
"1782223917.326",,,"17.1","-4.11",
"1782223917.329",,,"16.31","-3.75",
"1782223917.34",,,"16.31","-3.75",
"1782223917.364",,,"14.6","-2.59",
"1782223917.369",,,"14.6",,
"1782223917.37",,,,"-2.59",
"1782223917.384",,,"13.13","-2.1",
"1782223917.387",,,"11.18",,
"1782223917.388",,,,"-1.67",
"1782223917.397",,,"11.18","-1.67",
"1782223917.406",,,"9.35","-1.43",
"1782223917.411",,,"9.35","-1.43",
"1782223917.416",,,"6.48","-1.24",
"1782223917.426",,,"6.48","-1.24",
"1782223917.432",,,"4.1","-0.82",
"1782223917.44",,,"4.1","-0.82",
"1782223917.443",,,"0.74","-0.08",
"1782223917.459",,,"-3.11","0.77",
"1782223917.469",,,"-3.11","0.77",
"1782223917.472",,,"-7.14","1.93",
"1782223917.487",,,"-10.99","2.85",
"1782223917.506",,,"-10.99","2.85",
"1782223917.51",,,"-15.32","4.07",
"1782223917.515",,,"-19.05","4.86",
"1782223917.525",,,"-19.05","4.86",
"1782223917.53",,,"-23.38","5.84",
"1782223917.539",,,"-23.38","5.84",
"1782223917.542",,,"-26.87","6.27",
"1782223917.553",,,"-26.87",,
"1782223917.554",,,,"6.27",
"1782223917.559",,,"-29.67","7.06",
"1782223917.568",,,"-29.67","7.06",
"1782223917.571",,,"-32.18","7.73",
"1782223917.582",,,"-32.18",,
"1782223917.583",,,,"7.73",
"1782223917.585",,,"-34.38",,
"1782223917.586",,,,"8.47",
"1782223917.597",,,"-34.38","8.47",
"1782223917.604",,,"-36.09","8.71",
"1782223917.611",,,"-36.09","8.71",
"1782223917.614",,,"-37.25","8.59",
"1782223917.626",,,"-37.25","8.59",
"1782223917.629",,,"-37.98","8.41",
"1782223917.64",,,"-37.98",,
"1782223917.641",,,,"8.41",
"1782223917.653",,,"-38.47","8.34",
"1782223917.659",,,"-38.47","7.98",
"1782223917.667",,,"-38.47",,
"1782223917.668",,,,"7.98",
"1782223917.673",,,"-37.55","7.12",
"1782223917.682",,,"-37.55","7.12",
"1782223917.685",,,"-36.15","5.9",
"1782223917.696",,,"-36.15","5.9",
"1782223917.699",,,"-34.62","4.31",
"1782223917.71",,,"-34.62",,
"1782223917.711",,,,"4.31",
"1782223917.714",,,"-32.61","2.48",
"1782223917.724",,,"-32.61",,
"1782223917.725",,,,"2.48",
"1782223917.728",,,"-30.53","1.2",
"1782223917.739",,,"-30.53","1.2",
"1782223917.742",,,"-28.03","0.16",
"1782223917.753",,,"-28.03","0.16",
"1782223917.757",,,"-25.46","-0.08",
"1782223917.768",,,"-25.46","-0.08",
"1782223917.771",,,"-23.08","0.28",
"1782223917.782",,,"-23.08","0.28",
"1782223917.796",,,"-20.94","0.34",
"1782223917.799",,,"-19.6","0.77",
"1782223917.809",,,"-19.6",,
"1782223917.81",,,,"0.77",
"1782223917.814",,,"-18.32","0.89",
"1782223917.826",,,"-18.32","0.89",
"1782223917.829",,,"-17.64","1.5",
"1782223917.838",,,"-17.64","1.5",
"1782223917.842",,,"-16.91",,
"1782223917.843",,,,"1.87",
"1782223917.852",,,"-16.91",,
"1782223917.853",,,,"1.87",
"1782223917.855",,,"-16.12","2.24",
"1782223917.867",,,"-16.12",,
"1782223917.868",,,,"2.24",
"1782223917.872",,,"-15.69",,
"1782223917.873",,,,"2.42",
"1782223917.885",,,"-15.69","2.42",
"1782223917.886",,,"-15.63","2.67",
"1782223917.895",,,"-15.63","2.67",
"1782223917.898",,,"-15.08","2.18",
"1782223917.909",,,"-15.08","2.18",
"1782223917.913",,,"-14.35","2.18",
"1782223917.924",,,"-14.35","2.18",
"1782223917.929",,,"-13.55","2.36",
"1782223917.938",,,"-13.55","2.36",
"1782223917.941",,,"-12.88",,
"1782223917.942",,,,"2.6",
"1782223917.953",,,"-12.88","2.6",
"1782223917.966",,,"-11.96","2.48",
"1782223917.97",,,"-11.29","2.12",
"1782223917.984",,,"-11.29",,
"1782223917.985",,,"-10.25","1.5",
"1782223917.995",,,"-10.25","1.5",
"1782223917.998",,,"-9.4","0.53",
